mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
03995007	H. J. W. Fay	BLM08B	G6_04	107	grab, smith-mcintyre	1977	08	14		39	40	41	N	072	00	64	W		39.6735	-72.0107	185	1300	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PS202	107	grab, smith-mcintyre	1978	08	24	0609	29	01	70	N	090	09	77	W	m	29.0283	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PN208	107	grab, smith-mcintyre	1978	08	24	1005	29	03	92	N	090	09	77	W	m	29.0653	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PS051	107	grab, smith-mcintyre	1978	08	24	0707	29	02	56	N	090	09	77	W	m	29.0427	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PS057	107	grab, smith-mcintyre	1978	08	24	0707	29	02	56	N	090	09	77	W	m	29.0427	-90.1628	14	5	SMITH-MCINTYRE		
03565001	Longhorn	STOCS042	AQZS	107	grab, smith-mcintyre	1976	10	11	0835	27	55	00	N	96	20	00	W		27.9167	-96.3333	42	0			
03565001	Longhorn	STOCS040	ATSJ	107	grab, smith-mcintyre	1976	09	25	1545	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATSO	107	grab, smith-mcintyre	1976	09	27	1520	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATNL	107	grab, smith-mcintyre	1976	09	25	1730	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATLO	107	grab, smith-mcintyre	1976	09	26	1013	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATMN	107	grab, smith-mcintyre	1976	09	26	0755	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATMV	107	grab, smith-mcintyre	1976	09	25	1805	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATLJ	107	grab, smith-mcintyre	1976	09	26	1015	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS040	ATKL	107	grab, smith-mcintyre	1976	09	27	1400	27	44	35	N	96	42	98	W		27.7392	-96.7163	83	0			
03565001	Longhorn	STOCS079	BQIY	107	grab, smith-mcintyre	1977	09	27	1742	26	58	00	N	97	20	00	W		26.9667	-97.3333	15	0			
03565001	Longhorn	STOCS079	BQHC	107	grab, smith-mcintyre	1977	09	28	0953	26	58	00	N	96	33	00	W		26.9667	-96.55	106	0			
03565001	Longhorn	STOCS079	BQCY	107	grab, smith-mcintyre	1977	09	28	1841	26	58	00	N	97	11	00	W		26.9667	-97.1833	25	0			
03565001	Longhorn	STOCS079	BQCS	107	grab, smith-mcintyre	1977	09	28	1835	26	58	00	N	97	11	00	W		26.9667	-97.1833	25	0			
03565001	Longhorn	STOCS071	BMOY	107	grab, smith-mcintyre	1977	06	13	2035	26	10	00	N	96	24	00	W		26.1667	-96.4	91	0			
03565001	Longhorn	STOCS071	BMPC	107	grab, smith-mcintyre	1977	06	15	1255	27	40	00	N	96	59	00	W		27.6667	-96.9833	22	0			
03565001	Longhorn	STOCS071	BMOQ	107	grab, smith-mcintyre	1977	06	15	1250	27	40	00	N	96	59	00	W		27.6667	-96.9833	22	0			
03565001	Longhorn	STOCS071	BMOU	107	grab, smith-mcintyre	1977	06	14	0710	26	58	00	N	96	48	00	W		26.9667	-96.8	65	0			
03565001	Longhorn	STOCS069	BIWD	107	grab, smith-mcintyre	1977	06	01	1724	27	33	03	N	96	29	05	W		27.5505	-96.4842	76	0			
03565001	Longhorn	STOCS069	BITA	107	grab, smith-mcintyre	1977	06	02	0805	27	26	23	N	96	31	03	W		27.4372	-96.5172	82	0			
03565001	Longhorn	STOCS069	BITX	107	grab, smith-mcintyre	1977	06	02	0625	27	26	23	N	96	32	12	W		27.4372	-96.5353	82	0			
03995007	H. J. W. Fay	BLM08B	E4_11	107	grab, smith-mcintyre	1977	08	11		38	43	25	N	073	20	53	W		38.7208	-73.3422	80	950	SMITH-MCINTYRE		
03995007	H. J. W. Fay	BLM08B	F1_02	107	grab, smith-mcintyre	1977	08	11		38	45	41	N	073	16	28	W		38.7568	-73.2713	83	750	SMITH-MCINTYRE		
03995007	H. J. W. Fay	BLM08B	E4_10	107	grab, smith-mcintyre	1977	08	11		38	43	25	N	073	20	53	W		38.7208	-73.3422	80	950	SMITH-MCINTYRE		
03995007	H. J. W. Fay	BLM08B	E3_03	107	grab, smith-mcintyre	1977	08	11		38	41	04	N	073	31	94	W		38.684	-73.5323	67	750	SMITH-MCINTYRE		
03995007	H. J. W. Fay	BLM08B	E3_06	107	grab, smith-mcintyre	1977	08	11		38	41	04	N	073	31	94	W		38.684	-73.5323	67	1100	SMITH-MCINTYRE		
03995010	Unknown Platform	MAFLADM4	5009	300	core, box	1978	02	16		27	56	00	N	83	27	55	W		27.9333	-83.4592	28	0			
03995010	Unknown Platform	MAFLADM4	5016	300	core, box	1978	02	16		27	52	50	N	83	34	03	W		27.875	-83.5672	33	0			
03995010	Unknown Platform	MAFLADM4	4997	300	core, box	1978	02	16		27	57	07	N	83	09	15	W		27.9512	-83.1525	17	0			
03565001	Longhorn	STOCS026	AKPW	107	grab, smith-mcintyre	1976	04	10	1055	27	24	00	N	96	29	00	W		27.4	-96.4833	98	0			
03565001	Longhorn	STOCS026	AKOB	107	grab, smith-mcintyre	1976	04	09	0715	27	30	00	N	96	45	00	W		27.5	-96.75	49	0			
03565001	Longhorn	STOCS026	AKOH	107	grab, smith-mcintyre	1976	04	09	0751	27	30	00	N	96	45	00	W		27.5	-96.75	49	0			
03565001	Longhorn	STOCS026	AKND	107	grab, smith-mcintyre	1976	04	08	1115	27	34	00	N	96	50	00	W		27.5667	-96.8333	36	0			
03565001	Longhorn	STOCS026	AKMZ	107	grab, smith-mcintyre	1976	04	08	1115	27	34	00	N	96	50	00	W		27.5667	-96.8333	36	0			
03565001	Longhorn	STOCS024	AKCF	107	grab, smith-mcintyre	1976	03	26	1240	27	24	00	N	96	36	00	W		27.4	-96.6	78	0			
03565001	Longhorn	STOCS024	AJYN	107	grab, smith-mcintyre	1976	03	28	1300	27	18	00	N	96	23	00	W		27.3	-96.3833	131	0			
03565001	Longhorn	STOCS024	AJXN	107	grab, smith-mcintyre	1976	03	28	1020	27	24	00	N	96	29	00	W		27.4	-96.4833	98	0			
03565001	Longhorn	STOCS020	AIDA	107	grab, smith-mcintyre	1976	02	20	0500	26	58	00	N	97	20	00	W		26.9667	-97.3333	15	0			
03565001	Longhorn	STOCS020	AIAB	107	grab, smith-mcintyre	1976	02	19	2143	26	58	00	N	96	48	00	W		26.9667	-96.8	65	0			
03565001	Longhorn	STOCS020	AHUA	107	grab, smith-mcintyre	1976	02	20	0257	26	58	00	N	97	11	00	W		26.9667	-97.1833	25	0			
03565001	Longhorn	STOCS019	AHTF	107	grab, smith-mcintyre	1976	02	16	1241	27	39	00	N	96	12	00	W		27.65	-96.2	100	0			
03565001	Longhorn	STOCS020	AHTQ	107	grab, smith-mcintyre	1976	02	20	0240	26	58	00	N	97	11	00	W		26.9667	-97.1833	25	0			
03565001	Longhorn	STOCS019	AHSU	107	grab, smith-mcintyre	1976	02	16	0946	27	44	00	N	96	14	00	W		27.7333	-96.2333	82	0			
03565001	Longhorn	STOCS019	AHSY	107	grab, smith-mcintyre	1976	02	16	1009	27	44	00	N	96	14	00	W		27.7333	-96.2333	82	0			
03565001	Longhorn	STOCS019	AHSN	107	grab, smith-mcintyre	1976	02	14	2139	28	14	00	N	96	29	00	W		28.2333	-96.4833	10	0			
03565001	Longhorn	STOCS019	AHLK	107	grab, smith-mcintyre	1976	02	14	1414	27	18	00	N	96	23	00	W		27.3	-96.3833	131	0			
03565001	Longhorn	STOCS019	AHDM	107	grab, smith-mcintyre	1976	02	16	1720	27	34	00	N	96	07	00	W		27.5667	-96.1167	134	0			
03565001	Longhorn	STOCS019	AHDF	107	grab, smith-mcintyre	1976	02	16	1700	27	34	00	N	96	07	00	W		27.5667	-96.1167	134	0			
03565001	Longhorn	STOCS019	AHAL	107	grab, smith-mcintyre	1976	02	15	0959	28	12	00	N	96	27	00	W		28.2	-96.45	18	0			
41995002	Multiple	unknown	BRSLF25	0	unknown					56	12	60	N	168	53	40	W	m	56.21	-168.89					
03565001	Longhorn	STOCS046	AVFY	107	grab, smith-mcintyre	1976	11	19	1330	27	24	00	N	96	36	00	W		27.4	-96.6	78	0			
03565001	Longhorn	STOCS046	AVFI	107	grab, smith-mcintyre	1976	11	19	1305	27	24	00	N	96	36	00	W		27.4	-96.6	78	0			
03565001	Longhorn	STOCS046	AVDM	107	grab, smith-mcintyre	1976	11	19	1615	27	18	00	N	96	23	00	W		27.3	-96.3833	131	0			
09005003	Unknown Platform	L.I. 294	42_44	100	grab, undifferentiated					12	28	00	N	087	12	20	W	m	12.4667	-87.2033			GRAB SAMPLE		
03995010	Unknown Platform	MAFLADM2	3802	300	core, box	1977	11	13		27	52	43	N	83	34	00	W		27.8738	-83.5667	33	0			
03995010	Unknown Platform	MAFLADM2	3816	300	core, box	1977	11	13		27	56	37	N	83	53	02	W		27.9395	-83.8837	40	0			
20995002	Thomas G. Thompson	TT042	114_255	500	core, piston undiff.	1969	09	05		61	08	90	N	172	18	30	W	m	61.1483	-172.305	66	169			
03995010	Unknown Platform	MAFLADM2	3967	300	core, box	1977	11	07		29	55	02	N	86	04	88	W		29.917	-86.0813	39	0			
03995010	Unknown Platform	MAFLADM2	3952	300	core, box	1977	11	07		28	50	02	N	85	36	95	W		28.8337	-85.6158	177	0			
03995010	Unknown Platform	MAFLADM2	3922	300	core, box	1977	11	08		29	20	03	N	84	44	05	W		29.3338	-84.7342	30	0			
03995010	Unknown Platform	MAFLADM2	3929	300	core, box	1977	11	08		29	13	02	N	85	00	02	W		29.217	-85.0003	28	0			
03995007	James M. Gilliss	BLM03B	B2_02	107	grab, smith-mcintyre	1976	06	22		39	23	44	N	073	00	64	W		39.3907	-73.0107	62	800	SMITH-MCINTYRE		
03995007	James M. Gilliss	BLM03B	A4_10	107	grab, smith-mcintyre	1976	06	23		39	14	28	N	072	26	84	W		39.238	-72.4473	197	900	SMITH-MCINTYRE		
03995007	James M. Gilliss	BLM03B	A4_12	107	grab, smith-mcintyre	1976	06	23		39	14	28	N	072	26	84	W		39.238	-72.4473	197	900	SMITH-MCINTYRE		
03995007	James M. Gilliss	BLM03B	A3_07	107	grab, smith-mcintyre	1976	06	23		39	16	57	N	072	29	94	W		39.2762	-72.499	139	0	SMITH-MCINTYRE		
03995007	James M. Gilliss	BLM03B	A1_10	107	grab, smith-mcintyre	1976	06	22		39	14	73	N	072	47	21	W		39.2455	-72.7868	92	1100	SMITH-MCINTYRE		
03995007	James M. Gilliss	BLM03B	A1_12	107	grab, smith-mcintyre	1976	06	22		39	14	73	N	072	47	21	W		39.2455	-72.7868	92	1100	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L6_06	107	grab, smith-mcintyre	1976	03	22		37	08	21	N	074	37	00	W		37.1368	-74.6167	350	1230	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L5_02	107	grab, smith-mcintyre	1976	03	22		37	06	23	N	074	33	30	W		37.1038	-74.555	208	950	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L5_08	107	grab, smith-mcintyre	1976	03	22		37	06	23	N	074	33	30	W		37.1038	-74.555	208	900	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L3_10	107	grab, smith-mcintyre	1976	03	22		37	13	62	N	074	46	64	W		37.227	-74.7773	58	750	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L4_11	107	grab, smith-mcintyre	1976	03	22		37	08	16	N	074	36	03	W		37.136	-74.6005	94	1120	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L2_08	107	grab, smith-mcintyre	1976	03	23		37	20	21	N	074	58	69	W		37.3368	-74.9782	41	1180	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L3_01	107	grab, smith-mcintyre	1976	03	22		37	13	62	N	074	46	64	W		37.227	-74.7773	58	1050	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	L1_08	107	grab, smith-mcintyre	1976	03	23		37	31	21	N	075	18	60	W		37.5202	-75.31	26	970	SMITH-MCINTYRE		
03995007	Peirce	BLM02B	K5_09	107	grab, smith-mcintyre	1976	03	12		38	01	60	N	073	54	78	W		38.0267	-73.913	168	800	SMITH-MCINTYRE		
03565001	Longhorn	STOCS054	BCFO	107	grab, smith-mcintyre	1977	01	28	1505	26	10	00	N	96	20	00	W		26.1667	-96.3333	130	0			
03565001	Longhorn	STOCS054	BCFF	107	grab, smith-mcintyre	1977	01	28	1505	26	10	00	N	96	20	00	W		26.1667	-96.3333	130	0			
03565001	Longhorn	STOCS054	BCBX	107	grab, smith-mcintyre	1977	01	30	1610	26	10	00	N	96	54	00	W		26.1667	-96.9	37	0			
03565001	Longhorn	STOCS054	BCDM	107	grab, smith-mcintyre	1977	01	28	1105	26	10	00	N	96	31	00	W		26.1667	-96.5167	65	0			
20995002	Thomas G. Thompson	TT042	034_077	100	grab, undifferentiated	1969	08	25		62	19	00	N	170	28	80	W	m	62.3167	-170.48	41				
20995002	Thomas G. Thompson	TT042	037_083	100	grab, undifferentiated	1969	08	26		62	39	30	N	172	57	40	W	m	62.655	-172.9567	64				
20995002	Thomas G. Thompson	TT042	039_089	500	core, piston undiff.	1969	08	26		62	54	80	N	174	51	60	W	m	62.9133	-174.86	80	371			
20995002	Thomas G. Thompson	TT042	024_058	500	core, piston undiff.	1969	08	24		61	12	60	N	172	32	00	W	m	61.21	-172.5333	67	905			
20995002	Thomas G. Thompson	TT042	027_064	100	grab, undifferentiated	1969	08	24		61	30	80	N	169	21	90	W	m	61.5133	-169.365	40				
23055001	T-Kip IV	II-A	02PN058	107	grab, smith-mcintyre	1978	08	24	1100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PN201	107	grab, smith-mcintyre	1978	08	24	1005	29	03	92	N	090	09	77	W	m	29.0653	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PN052	107	grab, smith-mcintyre	1978	08	24	1100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	14	5	SMITH-MCINTYRE		
23055001	T-Kip IV	II-A	02PE208	107	grab, smith-mcintyre	1978	08	24	0345	29	02	83	N	090	08	54	W	m	29.0472	-90.1423	14	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN056	107	grab, smith-mcintyre	1978	05	28	0100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN011	107	grab, smith-mcintyre	1978	05	28	0005	29	02	92	N	090	09	75	W	m	29.0487	-90.1625	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PN053	107	grab, smith-mcintyre	1978	05	28	0100	29	03	10	N	090	09	77	W	m	29.0517	-90.1628	12	5	SMITH-MCINTYRE		
23045001	Sea Transporter	I	02PE202	107	grab, smith-mcintyre	1978	05	27	0845	29	02	83	N	090	08	54	W	m	29.0472	-90.1423	12	5	SMITH-MCINTYRE		
03995010	Columbus Iselin	MAFLA039	2167	300	core, box	1976	07	02		28	42	00	N	84	19	97	W		28.7	-84.3328	35	0			
03995010	Columbus Iselin	MAFLA039	2169	300	core, box	1976	07	02		28	42	00	N	84	19	97	W		28.7	-84.3328	35	0			
03995010	Columbus Iselin	MAFLA039	2155	300	core, box	1976	07	05		29	24	00	N	85	14	97	W		29.4	-85.2495	176	0			
03995010	Columbus Iselin	MAFLA039	2159	300	core, box	1976	07	05		29	24	00	N	85	14	97	W		29.4	-85.2495	176	0			
03995010	Columbus Iselin	MAFLA039	2147	300	core, box	1976	06	30		27	56	95	N	84	47	95	W		27.9492	-84.7992	189	0			
03995010	Columbus Iselin	MAFLA039	2149	300	core, box	1976	06	30		27	56	95	N	84	47	95	W		27.9492	-84.7992	189	0			
03995010	Columbus Iselin	MAFLA039	2135	300	core, box	1976	06	30		27	56	95	N	84	47	95	W		27.9492	-84.7992	189	0			
03995010	Columbus Iselin	MAFLA039	2139	300	core, box	1976	06	30		27	56	95	N	84	47	95	W		27.9492	-84.7992	189	0			
03995010	Columbus Iselin	MAFLA039	2143	300	core, box	1976	06	30		27	56	95	N	84	47	95	W		27.9492	-84.7992	189	0			
03995010	Columbus Iselin	MAFLA039	2129	300	core, box	1976	06	30		27	56	45	N	83	52	95	W		27.9408	-83.8825	43	0			
03995010	Columbus Iselin	MAFLA039	2125	300	core, box	1976	06	30		27	56	45	N	83	52	95	W		27.9408	-83.8825	43	0			
03995007	Multiple	RBCI03	218	0	unknown	1959	07	03		40	28	58	N	074	12	77	W		40.4763	-74.2128	3				
03995007	Multiple	RBCI02	178	0	unknown	1958	08	06		40	28	20	N	074	03	13	W		40.47	-74.0522	8				
03995007	Multiple	RBCI02	156	0	unknown	1958	07	30		40	28	58	N	074	14	43	W		40.4763	-74.2405	2				
03995007	Multiple	RBCI02	160	0	unknown	1958	07	30		40	28	83	N	074	13	63	W		40.4805	-74.2272	4				
03995007	Multiple	RBCI02	162	0	unknown	1958	07	30		40	29	38	N	074	12	52	W		40.4897	-74.2087	4				
03995007	Multiple	RBCI02	152	0	unknown	1958	07	30		40	28	18	N	074	14	25	W		40.4697	-74.2375	3				
03995007	Multiple	RBCI02	172	0	unknown	1958	08	06		40	32	90	N	074	03	03	W		40.5483	-74.0505	7				
03995007	Multiple	RBCI02	138	0	unknown	1958	07	30		40	29	80	N	074	13	10	W		40.4967	-74.2183	5				
03995007	Multiple	RBCI02	140	0	unknown	1958	07	30		40	29	52	N	074	14	58	W		40.492	-74.243	2				
03995007	Multiple	RBCI02	132	0	unknown	1958	07	28		40	30	50	N	074	15	50	W		40.5083	-74.2583	9				
03995010	Unknown Platform	MAFLADM4	5000	300	core, box	1978	02	16		27	57	07	N	83	09	15	W		27.9512	-83.1525	17	0			
03995010	Unknown Platform	MAFLADM4	5005	300	core, box	1978	02	16		27	56	00	N	83	27	55	W		27.9333	-83.4592	28	0			
03995010	Unknown Platform	MAFLADM4	4994	300	core, box	1978	02	16		27	57	07	N	83	09	15	W		27.9512	-83.1525	17	0			
03995010	Unknown Platform	MAFLADM4	4970	300	core, box	1978	02	18		26	25	08	N	83	22	98	W		26.418	-83.383	53	0			
03995010	Unknown Platform	MAFLADM4	4979	300	core, box	1978	02	17		26	24	95	N	84	15	07	W		26.4158	-84.2512	168	0			
03995010	Unknown Platform	MAFLADM4	4983	300	core, box	1978	02	17		26	24	95	N	84	15	07	W		26.4158	-84.2512	168	0			
03995010	Unknown Platform	MAFLADM4	4990	300	core, box	1978	02	16		27	57	07	N	83	09	15	W		27.9512	-83.1525	17	0			
03995010	Unknown Platform	MAFLADM4	4960	300	core, box	1978	02	18		26	25	08	N	83	22	98	W		26.418	-83.383	53	0			
03995010	Unknown Platform	MAFLADM4	4963	300	core, box	1978	02	18		26	25	08	N	83	22	98	W		26.418	-83.383	53	0			
03995010	Unknown Platform	MAFLADM4	4967	300	core, box	1978	02	18		26	25	08	N	83	22	98	W		26.418	-83.383	53	0			
03995010	Unknown Platform	MAFLADM4	4948	300	core, box	1978	02	20		26	24	55	N	82	24	85	W		26.4092	-82.4142	16	0			
03995010	Unknown Platform	MAFLADM4	4930	300	core, box	1978	02	20		26	24	98	N	82	15	15	W		26.4163	-82.2525	10	0			
03995010	Columbus Iselin	MAFLA039	2367	300	core, box	1976	07	09		29	55	47	N	88	33	50	W		29.9245	-88.5583	24	0			
03995010	Columbus Iselin	MAFLA039	2355	300	core, box	1976	07	09		30	01	98	N	88	56	98	W		30.033	-88.9497	21	0			
03995010	Columbus Iselin	MAFLA039	2342	300	core, box	1976	07	08		29	29	98	N	86	25	00	W		29.4997	-86.4167	189	0			
03995010	Columbus Iselin	MAFLA039	2346	300	core, box	1976	07	08		29	29	98	N	86	25	00	W		29.4997	-86.4167	189	0			
03995010	Columbus Iselin	MAFLA039	2337	300	core, box	1976	07	08		29	37	07	N	86	20	05	W		29.6178	-86.3342	117	0			
03995010	Columbus Iselin	MAFLA039	2332	300	core, box	1976	07	08		29	37	07	N	86	20	05	W		29.6178	-86.3342	117	0			
03995010	Columbus Iselin	MAFLA039	2336	300	core, box	1976	07	08		29	37	07	N	86	20	05	W		29.6178	-86.3342	117	0			
03995010	Columbus Iselin	MAFLA039	2327	300	core, box	1976	07	07		29	43	00	N	86	15	47	W		29.7167	-86.2578	67	0			
03995010	Unknown Platform	MAFLADM1	3473	300	core, box	1977	09	08		29	35	00	N	87	20	02	W		29.5833	-87.3337	106	0			
09055005	Kane	343601	BS-40	406	core, gravity, ewing	1975	09	16		44	11	8	N	008	41	0	E	m	44.0197	8.0683	970	207	MOD. EWING GRAV		
09055007	Kane	424	K708_6	400	core, gravity undiff.	1970	06	26		51	33	60	N	029	34	00	W	m	51.56	-29.5667	2469	1207	GRAVITY CORE		
09055005	Kane	343601	BS-35	406	core, gravity, ewing	1975	09	12		42	51	7	N	009	46	8	E	m	42.0862	9.078	438	207	MOD. EWING GRAV		
09055005	Kane	343601	BS-13	406	core, gravity, ewing	1975	08	31		38	47	41	N	009	11	10	E	m	38.7902	9.185	525	154	MOD. EWING GRAV		
09055005	Kane	343601	BS-16	406	core, gravity, ewing	1975	08	31		38	17	20	N	009	33	50	E	m	38.2867	9.5583	1359	190	MOD. EWING GRAV		
09055005	Kane	343601	BS-28	406	core, gravity, ewing	1975	09	09		37	51	9	N	011	32	6	E	m	37.0865	11.0543	70	71	MOD. EWING GRAV		
09055002	Kane	344602	21	406	core, gravity, ewing	1976	02	13		18	27	1	N	067	21	5	W	m	18.0452	-67.0358	1225		EWING GRAV CORE		
20995002	Thomas G. Thompson	TT042	120_265	100	grab, undifferentiated	1969	09	06		60	20	00	N	171	35	20	W	m	60.3333	-171.5867	66				
03995010	Unknown Platform	MAFLADM2	3704	300	core, box	1977	11	17		26	24	98	N	82	15	00	W		26.4163	-82.25	10	0			
03995010	Unknown Platform	MAFLADM1	3646	300	core, box	1977	08	19		25	40	05	N	82	20	02	W		25.6675	-82.3337	26	0			
03995010	Unknown Platform	MAFLADM2	3698	300	core, box	1977	11	17		26	24	98	N	82	15	00	W		26.4163	-82.25	10	0			
03995010	Unknown Platform	MAFLADM1	3634	300	core, box	1977	08	19		25	40	00	N	83	04	98	W		25.6667	-83.083	51	0			
03995010	Unknown Platform	MAFLADM1	3637	300	core, box	1977	08	19		25	40	00	N	83	04	98	W		25.6667	-83.083	51	0			
03995010	Unknown Platform	MAFLADM1	3642	300	core, box	1977	08	19		25	40	05	N	82	20	02	W		25.6675	-82.3337	26	0			
03995010	Unknown Platform	MAFLADM1	3631	300	core, box	1977	08	19		25	40	00	N	83	04	98	W		25.6667	-83.083	51	0			
03995010	Unknown Platform	MAFLADM1	3612	300	core, box	1977	08	19		25	39	92	N	83	50	02	W		25.6653	-83.8337	110	0			
03995010	Unknown Platform	MAFLADM1	3615	300	core, box	1977	08	19		25	39	92	N	83	50	02	W		25.6653	-83.8337	110	0			
03995010	Unknown Platform	MAFLADM1	3619	300	core, box	1977	08	19		25	39	92	N	83	50	02	W		25.6653	-83.8337	110	0			
03995010	Unknown Platform	MAFLADM1	3428	300	core, box	1977	09	09		29	53	48	N	88	12	32	W		29.8913	-88.2053	32	0			
03995010	Columbus Iselin	MAFLA010	472	300	core, box	1975	06	02		29	43	52	N	87	54	57	W		29.7253	-87.9095	36	0			
03995010	Columbus Iselin	MAFLA010	363	300	core, box	1975	06	04		29	55	98	N	86	06	47	W		29.933	-86.1078	38	0			
03995010	Columbus Iselin	MAFLA010	383	300	core, box	1975	06	04		29	47	98	N	86	09	50	W		29.7997	-86.1583	44	0			
03995010	Columbus Iselin	MAFLA010	342	300	core, box	1975	06	08		28	57	95	N	85	23	02	W		28.9658	-85.3837	86	0			
03995010	Columbus Iselin	MAFLA010	263	300	core, box	1975	06	06		29	46	97	N	84	05	02	W		29.7828	-84.0837	10	0			
03995010	Columbus Iselin	MAFLA010	283	300	core, box	1975	06	06		29	36	97	N	84	17	02	W		29.6162	-84.2837	19	0			
03995010	Columbus Iselin	MAFLA010	234	300	core, box	1975	05	29		26	24	97	N	84	15	07	W		26.4162	-84.2512	162	0			
03995010	Unknown Platform	MAFLA011	534	300	core, box	1975	06	10		28	34	00	N	84	20	42	W		28.5667	-84.3403	30	0			
03995010	Gyre	MAFLA014	599	300	core, box	1975	07	22		27	55	95	N	83	27	53	W		27.9325	-83.4588	34	0			
03995010	Columbus Iselin	MAFLA010	493	300	core, box	1975	06	03		29	36	40	N	87	27	13	W		29.6067	-87.4522	68	0			
03995010	Columbus Iselin	MAFLA010	413	300	core, box	1975	06	05		29	36	97	N	86	20	02	W		29.6162	-86.3337	116	0			
03995010	Columbus Iselin	MAFLA010	433	300	core, box	1975	06	01		30	02	03	N	88	37	05	W		30.0338	-88.6175	21	0			
09005060	Unknown Platform	H-34	5	100	grab, undifferentiated	1963	01	14		08	35	00	N	100	01	00	E	m	8.5833	100.0167			GRAB SAMPLE		
09005060	Unknown Platform	H-34	2	100	grab, undifferentiated	1963	01	19		08	36	50	N	100	01	30	E	m	8.6083	100.0217			GRAB SAMPLE		
09005006	Unknown Platform	214	21	101	grab, orange peel	1964	03	02		25	10	00	N	076	50	00	W	m	25.1667	-76.8333	5		ORNGE PEEL GRAB		
09005006	Unknown Platform	214	136_137	101	grab, orange peel	1964	03	16		24	55	00	N	077	20	00	W	m	24.9167	-77.3333	3		ORNGE PEEL GRAB		
09005031	Unknown Platform	L.I.1009	66_578	111	grab, dietz-lafond	1968	01	25		09	53	50	N	107	29	60	E	m	9.8917	107.4933	270		DIETZ-LAF GRAB		
09005031	Unknown Platform	L.I.1009	69_589	100	grab, undifferentiated	1967	12	09		20	34	00	N	111	04	00	E	m	20.5667	111.0667	603		GRAB SAMPLE		
20995002	Thomas G. Thompson	TT042	022_053	100	grab, undifferentiated	1969	08	24		61	01	40	N	174	25	30	W	m	61.0233	-174.4217	87				
20995002	Multiple	ANC69	049	101	grab, orange peel	1962	07	31		69	10	00	N	166	24	20	W	m	69.1667	-166.4033	33				
20995002	Multiple	ANC69	033	101	grab, orange peel	1962	07	28		69	16	70	N	167	02	30	W	m	69.2783	-167.0383	44				
20995002	Multiple	ANC69	037	101	grab, orange peel	1962	07	29		69	04	10	N	166	57	60	W	m	69.0683	-166.96	46				
09005028	Unknown Platform	L.I.1017	10_668	111	grab, dietz-lafond	1969	05	17		10	01	00	N	107	58	00	E	m	10.0167	107.9667	26		DIETZ-LAF GRAB		
09005026	Unknown Platform	L.I. 370	94_R-7	401	core, gravity, phleger	1966	11	20		17	47	50	N	107	59	00	E	m	17.7917	107.9833	83	34	PHLEGER CORE		
09005026	Unknown Platform	L.I. 370	87_OG-5	401	core, gravity, phleger	1966	10	04		17	48	00	N	107	45	00	E	m	17.8	107.75	74	54	PHLEGER CORE		
09005026	Unknown Platform	L.I. 370	83_OG-1	401	core, gravity, phleger	1966	10	01		17	53	00	N	108	30	00	E	m	17.8833	108.5	82	30	PHLEGER CORE		
09005026	Unknown Platform	L.I. 370	86_OG-4	401	core, gravity, phleger	1966	10	03		17	36	00	N	107	41	00	E	m	17.6	107.6833	82	55	PHLEGER CORE		
