mggid	ship	cruise	sample	device_code	device	year	month	day	time	latdeg	latmin	latminhun	ns	londeg	lonmin	lonminhun	lonew	latlon_orig	lat	lon	water_depth	core_length	device2	comments
09005019	Unknown Platform	L.I. 227	9_BS9	502	core, piston, ewing	1964	01	24		33	49	00	N	121	32	00	W	m	33.8167	-121.5333	3365	118	EWING PISTON		
06245001	Townsend Cromwell	JPO 212	12	300	core, box	1975	05	28	1120	59	55	00	N	147	21	90	W	m	59.9167	-147.365	88		BOX CORE		
06245001	Townsend Cromwell	JPO 212	126	100	grab, undifferentiated	1975	06	1	1127	60	01	80	N	144	48	69	W	m	60.03	-144.8115	210		GRAB SAMPLE		
03995010	Unknown Platform	MAFLADM4	5171	300	core, box	1978	02	12		28	49	97	N	85	37	05	W		28.8328	-85.6175	177	0			
03995010	Unknown Platform	MAFLADM4	5175	300	core, box	1978	02	12		28	49	97	N	85	37	05	W		28.8328	-85.6175	177	0			
03995010	Unknown Platform	MAFLADM4	5177	300	core, box	1978	02	12		28	49	97	N	85	37	05	W		28.8328	-85.6175	177	0			
03995010	Unknown Platform	MAFLADM4	5156	300	core, box	1978	02	12		28	58	00	N	85	23	02	W		28.9667	-85.3837	83	0			
03995010	Unknown Platform	MAFLADM4	5142	300	core, box	1978	02	13		29	20	28	N	84	43	85	W		29.338	-84.7308	30	0			
03995010	Unknown Platform	MAFLADM4	5144	300	core, box	1978	02	13		29	20	28	N	84	43	85	W		29.338	-84.7308	30	0			
03995010	Unknown Platform	MAFLADM4	5133	300	core, box	1978	02	13		29	37	13	N	84	17	02	W		29.6188	-84.2837	19	0			
03995010	Unknown Platform	MAFLADM4	5138	300	core, box	1978	02	13		29	20	28	N	84	43	85	W		29.338	-84.7308	30	0			
03995010	Unknown Platform	MAFLADM4	5140	300	core, box	1978	02	13		29	20	28	N	84	43	85	W		29.338	-84.7308	30	0			
03995010	Unknown Platform	MAFLADM4	5122	300	core, box	1978	02	13		29	47	02	N	84	04	87	W		29.7837	-84.0812	10	0			
03995010	Unknown Platform	MAFLADM4	5109	300	core, box	1978	02	13		29	08	12	N	83	43	75	W		29.1353	-83.7292	21	0			
03995010	Unknown Platform	MAFLADM4	5112	300	core, box	1978	02	13		29	47	02	N	84	04	87	W		29.7837	-84.0812	10	0			
03995010	Unknown Platform	MAFLADM4	5101	300	core, box	1978	02	13		29	08	12	N	83	43	75	W		29.1353	-83.7292	21	0			
20995002	Multiple	ANC69	064	101	grab, orange peel	1960	08	04		70	29	00	N	167	51	80	W	m	70.4833	-167.8633	48	0			
20995002	Multiple	ANC69	039	101	grab, orange peel	1962	07	29		69	48	10	N	166	43	10	W	m	69.8017	-166.7183	48				
20995002	Multiple	ANC69	043	101	grab, orange peel	1962	07	29		69	18	60	N	166	44	50	W	m	69.31	-166.7417	41				
20995002	Multiple	ANC69	045	101	grab, orange peel	1962	07	29		69	01	20	N	166	44	80	W	m	69.02	-166.7467	43				
20995002	Multiple	ANC69	029	101	grab, orange peel	1962	07	28		69	50	80	N	167	01	10	W	m	69.8467	-167.0183	48	0			
60045001	Venture	I-3	25_C	300	core, box	1980	11	19		24	47	57	N	082	13	16	W	m	24.7928	-82.2193	24	100			
60045001	Venture	I-3	20_F	300	core, box	1980	11	18		25	17	20	N	082	09	44	W	m	25.2867	-82.1573	22	100			
60045001	Venture	I-3	18_B	300	core, box	1980	11	15		25	45	22	N	083	42	13	W	m	25.7537	-83.7022	86	100			
60045001	Venture	I-3	12_E	300	core, box	1980	11	04		26	16	43	N	083	47	40	W	m	26.2738	-83.79	89	100			
60045001	Venture	I-3	14_D	300	core, box	1980	11	08		25	46	01	N	082	23	49	W	m	25.7668	-82.3915	26	100			
23055001	T-Kip IV	II-A	16SN011	107	grab, smith-mcintyre	1978	08	21	1211	28	28	52	N	091	16	75	W	m	28.4753	-91.2792	44	5	SMITH-MCINTYRE		
09995007	Serrano	SERRANO	171	401	core, gravity, phleger	1961	11	25		05	52	70	N	099	54	20	E	m	5.8783	99.9033	39	25	PHLEGER CORE		
09995007	Serrano	SERRANO	19	401	core, gravity, phleger	1961	04	05		04	30	00	N	098	40	00	E	m	4.5	98.6667	50	39	PHLEGER CORE		
09995007	Serrano	SERRANO	162	401	core, gravity, phleger	1961	11	25		05	39	00	N	098	58	20	E	m	5.65	98.97	66	38	PHLEGER CORE		
09995007	Serrano	SERRANO	166	401	core, gravity, phleger	1961	11	25		05	47	10	N	099	24	80	E	m	5.785	99.4133	68	61	PHLEGER CORE		
23045003	Sea Transporter	III	03PW208	107	grab, smith-mcintyre	1979	01	10	0525	28	40	03	N	090	15	95	W	m	28.6672	-90.2658	29	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	04PE053	107	grab, smith-mcintyre	1979	01	10	1405	28	34	15	N	090	24	23	W	m	28.5692	-90.4038	38	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	03PW057	107	grab, smith-mcintyre	1979	01	10	0630	28	40	03	N	090	15	03	W	m	28.6672	-90.2505	29	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	03PW05X	107	grab, smith-mcintyre	1979	01	10	0630	28	40	03	N	090	15	03	W	m	28.6672	-90.2505	29	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	03PW205	107	grab, smith-mcintyre	1979	01	10	0525	28	40	03	N	090	15	95	W	m	28.6672	-90.2658	29	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	03PS207	107	grab, smith-mcintyre	1979	01	10	0425	28	38	95	N	090	14	72	W	m	28.6492	-90.2453	29	5	SMITH-MCINTYRE		
23045003	Sea Transporter	III	03PS20X	107	grab, smith-mcintyre	1979	01	10	0425	28	38	95	N	090	14	72	W	m	28.6492	-90.2453	29	5	SMITH-MCINTYRE		
20995002	Thomas G. Thompson	TT042	049_111	100	grab, undifferentiated	1969	08	27		62	03	70	N	172	49	70	W	m	62.0617	-172.8283	57				
20995002	Thomas G. Thompson	TT042	040_092	400	core, gravity undiff.	1969	08	26		62	39	80	N	175	38	70	W	m	62.6633	-175.645	84	20			
20995002	Thomas G. Thompson	TT042	045_102	100	grab, undifferentiated	1969	08	26		62	30	10	N	174	46	90	W	m	62.5017	-174.7817	75				
20995002	Multiple	ANC68	192	100	grab, undifferentiated	1968	07	31		64	52	00	N	167	06	00	W	m	64.8667	-167.1	21				
09265008	Lynch	ANCHOR	SA16G	503	core, piston, hydroplastic (PVC)	1971	01	01		16	30	00	N	072	52	00	E	m	16.5	72.8667	4161	148	PVC PISTON CORE		
09315001	Requisite	31946	4	401	core, gravity, phleger	1962	05	08		19	55	00	N	073	32	00	W	m	19.9167	-73.5333	3658	18	PHLEGER CORE		
09265005	Lynch	ASW	5	404	core, gravity, hydroplastic (PVC)	1967	04	11		16	40	0	N	065	00	0	W	m	16.0667	-65	3969	132	PVC GRAVITY		
09265005	Lynch	ASW	9	404	core, gravity, hydroplastic (PVC)	1967	04	16		17	00	0	N	066	30	0	W	m	17	-66.05	4518	0	PVC GRAVITY		
09265005	Lynch	ASW	1	404	core, gravity, hydroplastic (PVC)	1967	04	07		16	41	0	N	065	51	0	W	m	16.0683	-65.085	4573	206	PVC GRAVITY		
